file,size_mb,columns,n_rows,dtypes_sample.provider_code,dtypes_sample.pickup_timestamp,dtypes_sample.dropoff_timestamp,dtypes_sample.rider_count,dtypes_sample.distance_miles,dtypes_sample.rate_class_id,dtypes_sample.offline_record_flag,dtypes_sample.origin_loc_id,dtypes_sample.dest_loc_id,dtypes_sample.fare_settlement_method,dtypes_sample.base_fare,dtypes_sample.surcharge_misc,dtypes_sample.transit_tax,dtypes_sample.driver_tip_payment,dtypes_sample.toll_total,dtypes_sample.service_improvement_fee,dtypes_sample.charge_total,dtypes_sample.zone_congestion_fee,dtypes_sample.Airport_fee,dtypes_sample.congestion_relief_fee,missing_pct.provider_code,missing_pct.pickup_timestamp,missing_pct.dropoff_timestamp,missing_pct.rider_count,missing_pct.distance_miles,missing_pct.rate_class_id,missing_pct.offline_record_flag,missing_pct.origin_loc_id,missing_pct.dest_loc_id,missing_pct.fare_settlement_method,missing_pct.base_fare,missing_pct.surcharge_misc,missing_pct.transit_tax,missing_pct.driver_tip_payment,missing_pct.toll_total,missing_pct.service_improvement_fee,missing_pct.charge_total,missing_pct.zone_congestion_fee,missing_pct.Airport_fee,missing_pct.congestion_relief_fee,dtypes_sample.loc_id,dtypes_sample.borough_name,dtypes_sample.zone_name,dtypes_sample.service_zone,missing_pct.loc_id,missing_pct.borough_name,missing_pct.zone_name,missing_pct.service_zone
Urban_Flow_Analytics_Taxi_Dataset_2025-04.csv,429.7,"['provider_code', 'pickup_timestamp', 'dropoff_timestamp', 'rider_count', 'distance_miles', 'rate_class_id', 'offline_record_flag', 'origin_loc_id', 'dest_loc_id', 'fare_settlement_method', 'base_fare', 'surcharge_misc', 'transit_tax', 'driver_tip_payment', 'toll_total', 'service_improvement_fee', 'charge_total', 'zone_congestion_fee', 'Airport_fee', 'congestion_relief_fee']",3970553,int64,object,object,float64,float64,float64,object,int64,int64,int64,float64,float64,float64,float64,float64,float64,float64,float64,float64,float64,0.0,0.0,0.0,18.782,0.0,18.782,18.782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.782,18.782,0.0,,,,,,,,
Urban_Flow_Analytics_Taxi_Dataset_2025-05.csv,492.5,"['provider_code', 'pickup_timestamp', 'dropoff_timestamp', 'rider_count', 'distance_miles', 'rate_class_id', 'offline_record_flag', 'origin_loc_id', 'dest_loc_id', 'fare_settlement_method', 'base_fare', 'surcharge_misc', 'transit_tax', 'driver_tip_payment', 'toll_total', 'service_improvement_fee', 'charge_total', 'zone_congestion_fee', 'Airport_fee', 'congestion_relief_fee']",4591845,int64,object,object,float64,float64,float64,object,int64,int64,int64,float64,float64,float64,float64,float64,float64,float64,float64,float64,float64,0.0,0.0,0.0,26.05,0.0,26.05,26.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.05,26.05,0.0,,,,,,,,
Urban_Flow_Analytics_Taxi_Dataset_2025-06.csv,462.6,"['provider_code', 'pickup_timestamp', 'dropoff_timestamp', 'rider_count', 'distance_miles', 'rate_class_id', 'offline_record_flag', 'origin_loc_id', 'dest_loc_id', 'fare_settlement_method', 'base_fare', 'surcharge_misc', 'transit_tax', 'driver_tip_payment', 'toll_total', 'service_improvement_fee', 'charge_total', 'zone_congestion_fee', 'Airport_fee', 'congestion_relief_fee']",4322960,int64,object,object,float64,float64,float64,object,int64,int64,int64,float64,float64,float64,float64,float64,float64,float64,float64,float64,float64,0.0,0.0,0.0,28.058,0.0,28.058,28.058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.058,28.058,0.0,,,,,,,,
Urban_Flow_Analytics_Taxi_Dataset_2025-07.csv,418.0,"['provider_code', 'pickup_timestamp', 'dropoff_timestamp', 'rider_count', 'distance_miles', 'rate_class_id', 'offline_record_flag', 'origin_loc_id', 'dest_loc_id', 'fare_settlement_method', 'base_fare', 'surcharge_misc', 'transit_tax', 'driver_tip_payment', 'toll_total', 'service_improvement_fee', 'charge_total', 'zone_congestion_fee', 'Airport_fee', 'congestion_relief_fee']",3898963,int64,object,object,float64,float64,float64,object,int64,int64,int64,float64,float64,float64,float64,float64,float64,float64,float64,float64,float64,0.0,0.0,0.0,26.642,0.0,26.642,26.642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.642,26.642,0.0,,,,,,,,
Urban_Flow_Analytics_Taxi_Dataset_2025-08.csv,383.9,"['provider_code', 'pickup_timestamp', 'dropoff_timestamp', 'rider_count', 'distance_miles', 'rate_class_id', 'offline_record_flag', 'origin_loc_id', 'dest_loc_id', 'fare_settlement_method', 'base_fare', 'surcharge_misc', 'transit_tax', 'driver_tip_payment', 'toll_total', 'service_improvement_fee', 'charge_total', 'zone_congestion_fee', 'Airport_fee', 'congestion_relief_fee']",3574091,int64,object,object,float64,float64,float64,object,int64,int64,int64,float64,float64,float64,float64,float64,float64,float64,float64,float64,float64,0.0,0.0,0.0,24.796,0.0,24.796,24.796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.796,24.796,0.0,,,,,,,,
Urban_Flow_Analytics_Taxi_Dataset_2025-09.csv,456.7,"['provider_code', 'pickup_timestamp', 'dropoff_timestamp', 'rider_count', 'distance_miles', 'rate_class_id', 'offline_record_flag', 'origin_loc_id', 'dest_loc_id', 'fare_settlement_method', 'base_fare', 'surcharge_misc', 'transit_tax', 'driver_tip_payment', 'toll_total', 'service_improvement_fee', 'charge_total', 'zone_congestion_fee', 'Airport_fee', 'congestion_relief_fee']",4251015,int64,object,object,float64,float64,float64,object,int64,int64,int64,float64,float64,float64,float64,float64,float64,float64,float64,float64,float64,0.0,0.0,0.0,25.104,0.0,25.104,25.104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.104,25.104,0.0,,,,,,,,
Urban_Flow_Analytics_Taxi_Dataset_2025-10.csv,477.1,"['provider_code', 'pickup_timestamp', 'dropoff_timestamp', 'rider_count', 'distance_miles', 'rate_class_id', 'offline_record_flag', 'origin_loc_id', 'dest_loc_id', 'fare_settlement_method', 'base_fare', 'surcharge_misc', 'transit_tax', 'driver_tip_payment', 'toll_total', 'service_improvement_fee', 'charge_total', 'zone_congestion_fee', 'Airport_fee', 'congestion_relief_fee']",4428699,int64,object,object,float64,float64,float64,object,int64,int64,int64,float64,float64,float64,float64,float64,float64,float64,float64,float64,float64,0.0,0.0,0.0,22.374,0.0,22.374,22.374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.374,22.374,0.0,,,,,,,,
Urban_Flow_Analytics_Taxi_Dataset_2025-11.csv,449.1,"['provider_code', 'pickup_timestamp', 'dropoff_timestamp', 'rider_count', 'distance_miles', 'rate_class_id', 'offline_record_flag', 'origin_loc_id', 'dest_loc_id', 'fare_settlement_method', 'base_fare', 'surcharge_misc', 'transit_tax', 'driver_tip_payment', 'toll_total', 'service_improvement_fee', 'charge_total', 'zone_congestion_fee', 'Airport_fee', 'congestion_relief_fee']",4181444,int64,object,object,float64,float64,float64,object,int64,int64,int64,float64,float64,float64,float64,float64,float64,float64,float64,float64,float64,0.0,0.0,0.0,24.268,0.0,24.268,24.268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.268,24.268,0.0,,,,,,,,
Urban_Flow_Analytics_Taxi_Dataset_2025-12.csv,461.0,"['provider_code', 'pickup_timestamp', 'dropoff_timestamp', 'rider_count', 'distance_miles', 'rate_class_id', 'offline_record_flag', 'origin_loc_id', 'dest_loc_id', 'fare_settlement_method', 'base_fare', 'surcharge_misc', 'transit_tax', 'driver_tip_payment', 'toll_total', 'service_improvement_fee', 'charge_total', 'zone_congestion_fee', 'Airport_fee', 'congestion_relief_fee']",4305006,int64,object,object,float64,float64,float64,object,int64,int64,int64,float64,float64,float64,float64,float64,float64,float64,float64,float64,float64,0.0,0.0,0.0,27.77,0.0,27.77,27.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.77,27.77,0.0,,,,,,,,
Urban_Flow_Analytics_Taxi_Dataset_2026-01.csv,397.9,"['provider_code', 'pickup_timestamp', 'dropoff_timestamp', 'rider_count', 'distance_miles', 'rate_class_id', 'offline_record_flag', 'origin_loc_id', 'dest_loc_id', 'fare_settlement_method', 'base_fare', 'surcharge_misc', 'transit_tax', 'driver_tip_payment', 'toll_total', 'service_improvement_fee', 'charge_total', 'zone_congestion_fee', 'Airport_fee', 'congestion_relief_fee']",3724889,int64,object,object,float64,float64,float64,object,int64,int64,int64,float64,float64,float64,float64,float64,float64,float64,float64,float64,float64,0.0,0.0,0.0,29.21,0.0,29.21,29.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.21,29.21,0.0,,,,,,,,
